,K_sa,K_sb,k_ba,k_ab,K_ba,K_ab,k_sa,k_sb
0.036159948021168,0.542400421902026,0.688238384289484,0.177902183633333,0.040684095063438,0.22741851297666,0.585370253484766,0.323618361132565,0.152808938410956
0.019202946100789,0.557062494622788,0.125395577824211,0.597615913036566,0.306958233961897,0.541736315501762,0.627199131699008,0.422027539518189,0.934659064101571
0.045913658238755,0.955289891256077,0.049840327274747,0.651315821502871,0.10414172612492,0.891551580607032,0.125467437546246,0.281789655794786,0.589619985825878
0.187553283952993,0.093879061037458,0.568982371311347,0.390209195767871,0.253175509847018,0.070507785600412,0.653129842675414,0.5608625285872,0.513213068338141
0.025541506388079,0.654194631470829,0.019889326697177,0.431723624247491,0.116577664755605,0.572863071321502,0.466921372167978,0.18220710719334,0.548216048691069
0.084922236150367,0.364190465710149,0.080701592087255,0.675732473643767,0.493198906116645,0.401057688299931,0.640243518932259,0.823837779538393,0.713178666494161
0.055043048024279,0.159983493421889,0.476907304726227,0.346872044870049,0.376956244160427,0.390008325447575,0.242233331267967,0.741174231324288,0.603463435983312
0.056675788034308,0.255162920596406,0.108425752322404,0.47982701131773,0.907060298010096,0.577046366089443,0.386031990102826,0.859507980046363,0.9514765870597
0.045436491943237,0.964719407262828,0.019982197586345,0.212431989276269,0.409010272791279,0.195928836845736,0.092481507857713,0.319283571820646,0.699628454196591
0.01132354653682,0.450733074659764,0.102871946412294,0.705260233897891,0.176056751809615,0.585426669755311,0.751801158635961,0.275009638224653,0.848567624292955
0.029033286649811,0.49556356303814,0.094833641805268,0.432508622337189,0.466541118027498,0.683348166924048,0.583135592060875,0.355973755578439,0.897141285775205
0.262096201059393,0.51481419299023,0.616419575047636,0.56518598514784,0.065293196804992,0.011773549971546,0.047534172246377,0.890979422552351,0.491466904553499
0.09877795161647,0.172696404851202,0.260706420517144,0.283018398487994,0.357076278837072,0.055438187973749,0.167808323772356,0.95184946697229,0.460916710192007
0.316019187137024,0.758752465393806,0.779783179914614,0.343099782691859,0.070315333749751,0.003967930256737,0.119868986341011,0.799056288860515,0.983303561620676
0.059586034206505,0.080201880562102,0.181371272575818,0.969997194086324,0.611394542184553,0.1621524290383,0.037531564742212,0.932890475130256,0.976916288249003
0.041415499642185,0.473468136482688,0.219010981595511,0.412034639600349,0.282674584055163,0.015996605068517,0.652901838654987,0.562639296025093,0.417517006513101
0.034126822141089,0.575752611105693,0.375247188660615,0.342634548824553,0.251607469847015,0.554652020710179,0.324960126599484,0.407925072442896,0.914885657647968
0.091699208772703,0.039486036986369,0.431783311436622,0.26208933917413,0.310874699990372,0.524947939387222,0.700611494515685,0.281854967005489,0.410248308123841
