,K_sa,K_sb,k_ba,k_ab,K_ba,K_ab,k_sa,k_sb,Ancho,Alto Off,Alto On,S_on,S_off
0.012837892927899998,0.054110343576999995,0.322192282762,0.292792928203,2.43584455289,0.054110343576999995,0.054110343576999995,3.0033424757300002,11.415621755999998,0.017017017017,0.752206223248,0.561514376636,0.0830830830831,0.06606606606610001
0.058037290084699995,0.07084249690210001,0.0224950138221,0.501865936733,0.0689936911462,0.07084249690210001,0.07084249690210001,0.9058928752009999,0.20456908084699998,0.07807807807810001,0.547143322473,0.585911374429,0.238238238238,0.16016016015999998
0.0033597659188299997,0.06675718569019999,0.8272088738750001,0.445652184127,0.541659969492,0.06675718569019999,0.06675718569019999,12.0953422237,13.833077185599999,0.004004004004,0.690766042643,0.632907100124,0.028028028028,0.024024024024
0.00214886271058,0.0501269015348,0.8007374695039999,0.251270625748,0.107082814913,0.0501269015348,0.0501269015348,23.0338273509,7.4441725341,0.002002002002,0.7487128878980001,0.672157057538,0.00900900900901,0.00700700700701
0.070003276591,0.0127988968691,0.23100164243299998,0.0163811761065,0.544734038053,0.0127988968691,0.0127988968691,0.130980125138,4.57917159422,0.07307307307310001,0.45515904443000005,0.661248500523,0.109109109109,0.036036036036
0.00343045425852,0.08004711606819999,0.011625247287999999,0.640754079084,0.17216866596299998,0.08004711606819999,0.08004711606819999,9.68077907411,6.0588351909,0.004004004004,0.656116417678,0.704988542844,0.020020020019999998,0.016016016016
0.0368969029212,0.049268898529,0.713792270827,0.242742436226,0.138780234516,0.049268898529,0.049268898529,0.9851299798459999,1.01993730337,0.046046046046,0.704906088652,0.6623460527430001,0.16016016015999998,0.11411411411399999
0.06990169434389999,0.0356759772332,0.173428739672,0.127277535154,3.73386356444,0.0356759772332,0.0356759772332,0.35829650413900005,2.7996262574,0.0890890890891,0.8197727059759999,0.468242859013,0.329329329329,0.24024024024
0.109139204221,0.0242082187227,0.0570479828541,0.058603785372800005,3.78621606129,0.0242082187227,0.0242082187227,0.227319901855,13.9259301599,0.119119119119,0.831847715281,0.42988781554,0.198198198198,0.0790790790791
0.017657749700200003,0.0586981946901,0.9733906715,0.34454780598800006,1.25680102934,0.0586981946901,0.0586981946901,0.456824327996,0.57359052721,0.035035035035,0.509017749204,0.24363451833900002,0.6836836836839999,0.648648648649
0.18106703900499999,0.027274853074,0.426374517041,0.0743917610208,0.349473166014,0.027274853074,0.027274853074,0.11862119020400001,0.896000924454,0.203203203203,0.77895347898,0.7071943199519999,0.433433433433,0.23023023023000003
0.00240764170452,0.018940283081099997,0.916700659468,0.0358734323192,0.0122014014569,0.018940283081099997,0.018940283081099997,10.21706182,1.4925298904100002,0.001001001001,0.534708279062,0.670236073824,0.003003003003,0.002002002002
